name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"bm25+expand_sel[k10,sum,h2,a0.02]",0.3573,0.3189,0.342,0.2,0.1875,0.6,0.5625,0.3101
"bm25+expand_sel[k10,sum,h2,a0.05]",0.39,0.3221,0.3628,0.225,0.1875,0.6,0.5625,0.3315
"bm25+expand_sel[k10,sum,h2,a0.1]",0.3973,0.324,0.368,0.225,0.1875,0.625,0.625,0.3381
"bm25+expand_sel[k10,sum,h2,a0.2]",0.4048,0.3252,0.373,0.225,0.1875,0.625,0.625,0.3401
"bm25+expand_sel[k10,sum,h2,a0.3]",0.3962,0.2973,0.3566,0.175,0.125,0.625,0.625,0.3348
"bm25+expand_sel[k10,sum,h2,a0.5]",0.4239,0.3378,0.3895,0.225,0.1875,0.625,0.625,0.3642
"bm25+expand_sel[k10,sum,h2,a0.8]",0.4105,0.3491,0.386,0.2,0.1875,0.65,0.625,0.37
"bm25+expand_sel[k10,sum,h2,a1.2]",0.4482,0.3246,0.3987,0.25,0.1875,0.65,0.625,0.3854
"bm25+expand_sel[k10,sum,h2,a2.0]",0.3936,0.3542,0.3779,0.225,0.25,0.65,0.625,0.3915
"bm25+expand_sel[k10,mean,h1,a0.02]",0.3456,0.3157,0.3337,0.2,0.1875,0.6,0.5625,0.3058
"bm25+expand_sel[k10,mean,h1,a0.05]",0.3466,0.3175,0.335,0.2,0.1875,0.6,0.5625,0.3095
"bm25+expand_sel[k10,mean,h1,a0.1]",0.3539,0.3201,0.3404,0.2,0.1875,0.625,0.625,0.3152
"bm25+expand_sel[k10,mean,h1,a0.2]",0.3931,0.282,0.3487,0.225,0.125,0.625,0.625,0.3132
"bm25+expand_sel[k10,mean,h1,a0.3]",0.3908,0.2707,0.3428,0.225,0.125,0.625,0.625,0.3168
"bm25+expand_sel[k10,mean,h1,a0.5]",0.3568,0.2276,0.3051,0.175,0.0625,0.65,0.625,0.2804
"bm25+expand_sel[k10,mean,h1,a0.8]",0.276,0.1723,0.2345,0.1,0.0625,0.575,0.5,0.2094
"bm25+expand_sel[k10,mean,h1,a1.2]",0.1578,0.1339,0.1482,0.025,0.0625,0.425,0.3125,0.1452
"bm25+expand_sel[k10,mean,h1,a2.0]",0.1104,0.1063,0.1088,0.025,0.0625,0.35,0.25,0.0892
